State,,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Alabama,,9,9.5,9.5,9,11,9.5,11,11.5,10.5,9,3,3,1.5
Alaska,,9.5,10.5,10,11,10,9,8,8,8,11,10,6,6.5
Arizona,,20,21.5,22,22,21,22,23.5,24.5,25.5,24.5,23,15,14
Arkansas,,13.5,14,14.5,14.5,15.5,13,14,12,13,11,7.5,7,6
California,,43,43.5,43.5,42,45,43.5,40.5,41,40.5,44,45.5,44.5,40.5
Colorado,,30.5,27,25.5,23,24.5,24.5,24.5,23,25,26.5,22,21,15.5
Connecticut,,33.5,36.5,38,35.5,35.5,35.5,35.5,36,34.5,33,28,37.5,36
Delaware,,21.5,20.5,18.5,17,19,16.5,17,18.5,18.5,17.5,17.5,18.5,10
Florida,,16.5,16.5,17.5,18.5,16,15.5,16.5,15.5,17.5,19,17,16.5,16
Georgia,,10,11,12,12,12.5,12.5,12.5,13,14,13,10,6.5,7.5
Hawaii,,28,25.5,23,23,24,21.5,21.5,20.5,22,26.5,24.5,19,17
Idaho,,14.5,14.5,16,16.5,13,14,14.5,13.5,19.5,20,18,18.5,21
Illinois,,27,29,27.5,27,26.5,31,27,26,25,24.5,18.5,16,16
Indiana,,11.5,10.5,10.5,10,9.5,11,10.5,15.5,14,17,16.5,12,6
Iowa,,12.5,18.5,17,20.5,24,24.5,24,24.5,26.5,27,24.5,20,19
Kansas,,7,7,7.5,6,6,8,10.5,11.5,8.5,5.5,5,7.5,6
Kentucky,,13.5,11,15.5,16,14.5,14,13.5,11.5,13.5,12,10.5,11.5,11
Louisiana,,8,6.5,7.5,8.5,6.5,6,9,9.5,9,10,7,7,8
Maine,,26.5,26,25.5,25.5,27,23.5,22.5,23,19,26.5,27,26,16
Maryland,,34.5,34.5,30,31,32,35,30,27.5,30,30.5,24,24,21.5
Massachusetts,,42.5,44.5,44,44.5,45,44,42,42,43.5,45.5,42.5,39,26.5
Michigan,,28.5,28.5,28.5,27,27,23.5,26,24.5,25.5,24.5,17.5,10,6
Minnesota,,32,32.5,32,33,31,31,29,25.5,30,33,28,30.5,26.5
Mississippi,,5.5,8,8,7.5,7,7.5,8,8,2.5,4,2,2,2
Missouri,,13.5,14.5,15,12.5,13.5,8.5,9,10.5,9,8.5,6,7,4
Montana,,14.5,12.5,13,13,12,13,14,15,19,13.5,14,13.5,14.5
Nebraska,,10.5,9.5,8,8.5,9.5,9,10,9.5,9.5,10,4,4.5,6
Nevada,,21,15.5,15.5,14,12,13,16,13,16.5,22.5,22,21,17
New Hampshire,,24.5,21,19.5,20,19.5,19.5,18.5,20,22,24,21.5,23,16.5
New Jersey,,25,24,21.5,17.5,17.5,19,21,24.5,24.5,26.5,24.5,23,25.5
New Mexico,,18.5,14,13.5,13.5,12.5,13,17,17.5,18.5,19,21.5,14.5,15
New York,,36.5,37,35.5,34.5,35.5,32.5,35,38,39,38,34.5,34.5,32.5
North Carolina,,16.5,15.5,16,14.5,14.5,16.5,17.5,17.5,19.5,19,20,16,13.5
North Dakota,,5.5,5,5.5,3.5,3,4,4,3.5,4,2.5,1.5,2,1.5
Ohio,,11.5,14,15.5,14.5,15,15.5,17,22.5,19.5,22,17.5,15.5,16
Oklahoma,,11.5,12,11,10,8,11,12.5,12,11,6.5,6,7.5,5.5
Oregon,,32,32,35,36.5,35,36.5,37.5,37,37.5,37.5,37,36.5,37
Pennsylvania,,22,23.5,21.5,20.5,20.5,22,20.5,22,21.5,21,24,22,17
Rhode Island,,39.5,40.5,41,41.5,39.5,36.5,37.5,35.5,33,34,29.5,27.5,23
South Carolina,,11,10.5,10,9.5,10.5,10,10,11.5,10.5,8,8.5,8.5,9
South Dakota,,8,7,7.5,5,5,6,7.5,8,8,9.5,9.5,9,2
Tennessee,,14.5,14.5,14,15.5,16,13,12,13.5,15,18.5,11,8,3.5
Texas,,14.5,15.5,16.5,16.5,15.5,16,13,13,14,15.5,14.5,16.5,16
Utah,,20.5,19.5,21,22,20,17,18,17.5,20,24.5,24.5,16.5,15
Vermont,,40,40.5,40.5,39,40,39.5,37.5,34.5,35.5,34,33,33.5,33
Virginia,,18,15,16,15.5,13,13,12.5,12.5,13,14,11.5,10,10
Washington,,30.5,31.5,31.5,34.5,34.5,33.5,33.5,33.5,32,34,31.4,33,32
West Virginia,,5.5,6.5,5.5,6.5,8,8,8.5,9,6,8.5,6,6,5.5
Wisconsin,,17,16,15.5,17,19,18,21.5,18,24.5,25,26,24,26
Wyoming,,4,4.5,4.5,5,4.5,5.5,6.5,5.5,6.5,3.5,3.5,1,0
