State,2000,2010,2020
Alabama,55.4,59,57.7
Alaska,65.6,66,64.9
Arizona,88.2,89.8,89.3
Arkansas,52.5,56.2,55.5
California,94.4,95,94.2
Colorado,84.5,86.2,86
Connecticut,87.7,88,86.3
Delaware,80.1,83.3,82.6
Florida,89.3,91.2,91.5
Georgia,71.6,75.1,74.1
Hawaii,91.5,91.9,86.1
Idaho,66.4,70.6,69.2
Illinois,87.8,88.5,86.9
Indiana,70.8,72.4,71.2
Iowa,61.1,64,63.2
Kansas,71.4,74.2,72.3
Kentucky,55.8,58.4,58.7
Louisiana,72.6,73.2,71.5
Maine,40.2,38.7,38.6
Maryland,86.1,87.2,85.6
Massachusetts,91.4,92,91.3
Michigan,74.7,74.6,73.5
Minnesota,70.9,73.3,71.9
Mississippi,48.8,49.4,46.3
Missouri,69.4,70.4,69.5
Montana,54.1,55.9,53.4
Nebraska,69.8,73.1,73
Nevada,91.5,94.2,94.1
New Hampshire,59.3,60.3,58.3
New Jersey,94.4,94.7,93.8
New Mexico,75,77.4,74.5
New York,87.5,87.9,87.4
North Carolina,60.2,66.1,66.7
North Dakota,55.9,59.9,61
Ohio,77.4,77.9,76.3
Oklahoma,65.3,66.2,64.6
Oregon,78.7,81,80.5
Pennsylvania,77.1,78.7,76.5
Rhode Island,90.9,90.7,91.1
South Carolina,60.5,66.3,67.9
South Dakota,51.9,56.7,57.2
Tennessee,63.6,66.4,66.2
Texas,82.5,84.7,83.7
Utah,88.2,90.6,89.8
Vermont,38.2,38.9,35.1
Virginia,73,75.5,75.6
Washington,82,84.1,83.4
West Virginia,46.1,48.7,44.6
Wisconsin,68.3,70.2,67.1
Wyoming,65.1,64.8,62
