Year,pmld,pwithin,pbetween,pumld,puwithin,pubetween
1997,0.0951382054501841,0.0767523120077312,0.0183858934424529,0.164343563369914,0.134130220869844,0.0302133425000698
1998,0.0932720725224513,0.0743226130977194,0.018949459424732,0.171677383727249,0.138280307725187,0.0333970760020625
1999,0.0920097432428438,0.0740961649068611,0.0179135783359827,0.169474405937753,0.136498349673218,0.0329760562645343
2000,0.0928453046339979,0.0738498388618947,0.018995465772103,0.170222816705402,0.136386621378817,0.0338361953265842
2001,0.0901015585774839,0.0564105438314084,0.0336910147460754,0.170362485197309,0.120873052329705,0.0494894328676033
2002,0.0951325109013736,0.0604102677061705,0.0347222431952032,0.175365762781439,0.124780222521288,0.0505855402601517
2003,0.0937613881374055,0.0597591936964637,0.0340021944409417,0.17245922487871,0.122936545186665,0.0495226796920446
2004,0.0895754284839962,0.0571736425948932,0.0324017858891031,0.167904352558513,0.118904160311054,0.0490001922474596
2005,0.0880646458593802,0.0534218102325086,0.0346428356268714,0.169776074063768,0.109943385993335,0.0598326880704335
2006,0.0945456877788216,0.0560629039248816,0.03848278385394,0.179318258265959,0.112337065165523,0.0669811931004366
2007,0.0911500062552459,0.0558704718600302,0.0352795343952158,0.177052404262184,0.112543849343827,0.0645085549183577
2008,0.0947578838129337,0.0600191301770606,0.0347387536358733,0.182694551048064,0.115094854020632,0.0675996970274315
2009,0.092294803371285,0.0602050362334006,0.0320897671378844,0.179030059950495,0.110284973885241,0.0687450860652532
2010,0.0965214176052585,0.0622212752086658,0.0343001423965927,0.180851730630082,0.109399222109496,0.0714525085205861
2011,0.104806887174717,0.066347517688008,0.0384593694867095,0.188421211853796,0.113748793154851,0.0746724186989449
2012,0.102536028933104,0.0641104508160116,0.0384255781170926,0.196929262457703,0.118151650096414,0.0787776123612892
2013,0.103018147484285,0.0630728964056712,0.0399452510786134,0.192168979378148,0.115740479797969,0.0764284995801792
2014,0.101681778792799,0.0618778146622338,0.0398039641305656,0.188247430576132,0.112231000337738,0.0760164302383936
2015,0.0940734234438141,0.0564332902373872,0.0376401332064269,0.181433590714058,0.108863870189458,0.0725697205246
2016,0.0916859615596394,0.0536924061647619,0.0379935553948775,0.17917790200628,0.106370672743231,0.0728072292630494
2017,0.0930774433717584,0.0558638859651979,0.0372135574065605,0.18700221670544,0.11965378484133,0.0673484318641107
2018,0.0939886715545158,0.0567525130566452,0.0372361584978707,0.186403223073379,0.117024397362033,0.0693788257113461
2019,0.0910845718935174,0.0569234696034083,0.0341611022901091,0.18038314238304,0.11604812999018,0.0643350123928605
2020,0.104362918586875,0.0616003304355477,0.0427625881513279,0.200556047510205,0.125142355305636,0.075413692204569
2021,0.100855268393049,0.0594889323358173,0.0413663360572321,0.194291570814432,0.105468276375622,0.08882329443881
